Id,Name,WebSite,Email,Phone,Fax,Address,Type,ProvienceId
1,ABDULLAH GÜL ÜNİVERSİTESİ,http://www.agu.edu.tr/rektorluk-ofisi,ozelkalem@agu.edu.tr,03522248800,0352 338 88 28,Barbaros Mahallesi Sümer Kampüsü Kocasinan-KAYSERİ,0,38
2,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,http://www.acibadem.edu.tr,info@acibadem.edu.tr,02165004444,02165775048,İçerenköy Mah. Kayışdağı Cad. No:32 İçerenköy 34752 Ataşehir İstanbul,1,34
3,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,http://www.atu.edu.tr,rektorluk@atu.edu.tr,03224550001,03224550002,"Balcalı Mahallesi, Çatalan Caddesi No:201/1 01250 Sarıçam/ADANA",1,1
4,ADIYAMAN ÜNİVERSİTESİ,http://www.adiyaman.edu.tr/,bidb@adiyaman.edu.tr,04162233840,0416 223 38 43,"Adıyaman Üniversitesi, Altınşehir Mh. 3005 Sokak No:13 02040 ADIYAMAN",0,2
5,AFYON KOCATEPE ÜNİVERSİTESİ,http://www.aku.edu.tr,ozkalem@aku.edu.tr,02724440303,0272 2281401,Afyon Kocatepe Üniversitesi Rektörlüğü ANS Kampusü Gazlıgöl Yolu Üzeri,0,3
6,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,www.afsu.edu.tr,afsu@afsu.edu.tr,02722463335,02722281429,Zafer Sağlık Külliyesi Dörtyol Mah. 2078.Sok No:3,0,3
7,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,http://www.agri.edu.tr,gensek@agri.edu.tr,04722162008,04722151182,"Erzurum yolu,4 km 04100 Merkez / AĞRI",0,4
8,AKDENİZ ÜNİVERSİTESİ,http://www.akdeniz.edu.tr,info@akdeniz.edu.tr,02422274400,02422274958,Akdeniz Üniversitesi Kampüs Antalya,0,7
9,AKSARAY ÜNİVERSİTESİ,www.aksaray.edu.tr,gensek@aksaray.edu.tr,03822883026,03822883026,Bahçesaray Mah.68100 AKSARAY,0,68
10,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,http://www.alanya.edu.tr/,alku@alanya.edu.tr,02425106060,02425106019,Kestel Mahallesi Üniversite Caddesi No:80 Alanya/ANTALYA,0,7
11,ALANYA ÜNİVERSİTESİ,http://www.alanyauniversity.edu.tr,info@alanyauniversity.edu.tr,02425136969,0242 513 69 66,"Cikcilli Beldesi, Saraybeleni Mahallesi, Saraybeleni Cad. No:7, PK 80 07400, Alanya/ANTALYA",1,7
12,ALTINBAŞ ÜNİVERSİTESİ,http://www.altinbas.edu.tr/tr,ik@altinbas.edu.tr,2126040100,2124459255,"Mahmutbey, Dilmenler Cd. No. 26 Bağcılar, İstanbul",1,34
13,AMASYA ÜNİVERSİTESİ,http://www.amasya.edu.tr,webadmin@amasya.edu.tr,03582115005,0 358 218 01 04,Akbilek Mah. Hakimiyet cad. Milli Hakimiyet Yerleşkesi No:4/3 PK: 05100 Merkez/AMASYA,0,5
14,ANADOLU ÜNİVERSİTESİ,http://www.anadolu.edu.tr/,gensek@anadolu.edu.tr,02223350581,02223353616,"Anadolu Üniversitesi Yunus Emre Kampusü, 26470 Tepebaşı/ESKİŞEHİR",0,26
