YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"203910830","KOÇ ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Karşılaştırmalı Edebiyat","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","3+0","3+0","3+0","3+0","Doldu","3","3","3","3","215","606","516","513","536,38093","503,50496","521,12754","519,65975"
"202190179","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","İngilizce, Fransızca Mütercim ve Tercümanlık","(Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","8+0","8+0","8+0","5+0","Doldu","8","8","8","5","1.244","1.579","1.610","923","513,51740","481,13078","497,80912","509,71517"
"102270025","BOĞAZİÇİ ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Çeviribilimi","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","65+2","65+2","60+2","---","Doldu","67","67","62","---","1.507","2.037","1.570","---","509,66723","473,04478","498,46411","---"
"202110938","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","İngiliz Dili ve Edebiyatı","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","8+0","8+0","8+0","5+0","Doldu","8","8","8","5","2.120","3.075","2.430","2.658","502,07623","459,26139","484,26519","478,64780"
"102210135","BOĞAZİÇİ ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","İngiliz Dili ve Edebiyatı","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","65+2","65+2","60+2","60+2","Doldu","67","67","62","62","2.364","2.528","2.300","2.587","499,63599","466,02580","486,42018","479,64647"
"102270026","BOĞAZİÇİ ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Dilbilimi","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","55+2","55+2","50+2","50+2","Doldu","57","57","52","52","2.513","2.745","2.400","2.892","497,93825","463,24681","484,60256","475,00922"
"102210056","BOĞAZİÇİ ÜNİVERSİTESİ","Eğitim Fakültesi","İngilizce Öğretmenliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","80+2","90+3","90+3","90+3","Doldu","82","93","93","93","3.142","3.542","3.040","3.331","491,66148","454,37161","475,88386","469,61789"
"202110902","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Amerikan Kültürü ve Edebiyatı","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","6+0","6+0","6+0","4+0","Doldu","6","6","6","4","3.248","3.646","3.560","4.249","490,67774","453,40087","469,67432","458,82324"
"206190363","YEDİTEPE ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Çeviribilimi","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","14+0","14+0","14+0","9+0","Doldu","14","14","14","9","3.485","3.889","3.480","3.621","488,49170","450,95279","470,50461","466,23900"
"104010025","GALATASARAY ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Fransız Dili ve Edebiyatı","(Fransızca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","30+1","30+1","30+1","30+1","Doldu","31","31","31","31","3.656","3.247","3.150","3.757","486,92975","457,41955","474,47637","464,67715"
