YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"203910796","KOÇ ÜNİVERSİTESİ","Hukuk Fakültesi","Hukuk","(Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","20+0","19+0","19+0","13+0","Doldu","20","19","19","13","132","207","189","110","530,68457","487,29209","523,14489","523,04254"
"104010052","GALATASARAY ÜNİVERSİTESİ","Hukuk Fakültesi","Hukuk","(Fransızca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","35+1","25+1","25+1","25+1","Doldu","36","26","26","26","164","213","90","89","528,44829","486,66416","530,91347","526,31886"
"203910275","KOÇ ÜNİVERSİTESİ","İktisadi ve İdari Bilimler Fakültesi","Ekonomi","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","19+0","16+0","16+0","12+0","Doldu","19","16","16","12","200","95","266","171","526,15741","501,53681","519,11851","514,98143"
"203910309","KOÇ ÜNİVERSİTESİ","İktisadi ve İdari Bilimler Fakültesi","İşletme","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","24+0","21+0","21+0","14+0","Doldu","24","21","21","14","286","328","583","237","522,05334","476,54722","507,02126","510,67006"
"202111106","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Hukuk Fakültesi","Hukuk","(Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","24+0","24+0","24+0","16+0","Doldu","24","24","24","16","329","359","250","125","520,22409","474,64411","519,88096","521,01161"
"203910336","KOÇ ÜNİVERSİTESİ","İktisadi ve İdari Bilimler Fakültesi","Uluslararası İlişkiler","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","15+0","14+0","13+0","9+0","Doldu","15","14","13","9","436","577","859","461","516,72888","463,13005","499,19831","498,49201"
"203910169","KOÇ ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Sosyoloji","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","4+0","5+0","5+0","5+0","Doldu","4","5","5","5","455","889","1.210","1.894","515,94960","452,79389","492,15207","466,18683"
"102210223","BOĞAZİÇİ ÜNİVERSİTESİ","İktisadi ve İdari Bilimler Fakültesi","İşletme","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","100+3","100+3","100+3","100+3","Doldu","103","103","103","103","509","519","488","542","514,17864","465,13704","510,30380","494,83535"
"205110144","SABANCI ÜNİVERSİTESİ","Yönetim Bilimleri Fakültesi","Yönetim Bilimleri Programları","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","30+0","30+0","24+0","15+0","Doldu","30","30","24","15","524","397","562","776","513,87173","472,38336","507,76495","487,58182"
"102210214","BOĞAZİÇİ ÜNİVERSİTESİ","İktisadi ve İdari Bilimler Fakültesi","İktisat","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","100+3","100+3","100+3","100+3","Doldu","103","103","103","103","662","667","656","749","510,51486","459,84149","504,44598","488,21543"
