YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"203110477","İSTANBUL MEDİPOL ÜNİVERSİTESİ","Uluslararası Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","10+0","10+0","10+0","10+0","Doldu","10","10","10","10","70","51","36","77","552,37785","536,19794","554,27566","547,58683"
"203910699","KOÇ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","8+0","8+0","14+0","14+0","Doldu","8","8","14","14","75","92","47","108","552,20053","532,49167","553,80350","546,37277"
"203910363","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","16+0","15+0","15+0","9+0","Doldu","16","15","15","9","156","221","397","281","550,07491","525,61359","545,38069","541,51566"
"102210277","BOĞAZİÇİ ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","90+3","90+3","85+3","80+2","Doldu","93","93","88","82","315","327","341","429","547,16431","521,30695","546,34716","538,75084"
"202110408","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Mühendislik Fakültesi","Bilgisayar Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","45+0","45+0","45+0","45+0","Doldu","45","45","45","45","350","432","602","722","546,60080","517,62876","543,23171","534,20194"
"200110071","ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(İngilizce) (Burslu) (6 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","40+0","40+0","20+0","20+0","Doldu","40","40","20","20","357","320","177","320","546,54893","521,55171","549,40438","540,85437"
"203910399","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Elektrik-Elektronik Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","16+0","15+0","15+0","9+0","Doldu","16","15","15","9","383","390","425","415","546,19564","519,10901","545,04138","538,93994"
"203910054","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Fizik","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","4+0","8+0","8+0","8+0","Doldu","4","8","8","8","430","1.100","1.100","1.822","545,63926","504,42653","539,02484","524,34673"
"205411015","TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ","Tıp Fakültesi","Tıp","(Burslu) (6 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","7+0","6+0","6+0","10+0","Doldu","7","6","6","10","523","1.839","1.780","2.003","544,51967","494,99747","534,87035","522,99937"
"203910557","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Moleküler Biyoloji ve Genetik","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","5+0","5+0","4+0","5+0","Doldu","5","5","4","5","571","1.088","1.600","3.287","543,86616","504,60355","535,91487","515,21426"
"203910115","KOÇ ÜNİVERSİTESİ","Fen Fakültesi","Matematik","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","4+0","10+0","10+0","10+0","Doldu","4","10","10","10","660","605","1.640","2.410","542,91981","513,75646","535,68026","520,21047"
"203910424","KOÇ ÜNİVERSİTESİ","Mühendislik Fakültesi","Endüstri Mühendisliği","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","16+0","15+0","15+0","10+0","Doldu","16","15","15","10","693","757","1.120","816","542,60521","510,56677","538,90864","533,17633"
