YopCode,Name,Faculty,DepartmentName,Language,City,UniversityType,Price,EducationType,Quota2022,Quota2021,Quota2020,Quota2019,Fullness,Settled2022,Settled2021,Settled2020,Settled2019,MinimumSuccessRank2022,MinimumSuccessRank2021,MinimumSuccessRank2020,MinimumSuccessRank2019,MinimumPoint2022,MinimumPoint2021,MinimumPoint2020,MinimumPoint2019
"203910187","KOÇ ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Tarih","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","4+0","6+0","6+0","6+0","Doldu","4","6","6","6","169","180","497","265","503,67772","472,23840","482,65866","491,59085"
"203910018","KOÇ ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Arkeoloji ve Sanat Tarihi","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","3+0","7+0","7+0","7+0","Doldu","3","7","7","7","216","451","1.100","553","499,92336","450,82298","461,98989","475,68854"
"202210329","İSTANBUL 29 MAYIS ÜNİVERSİTESİ","İlahiyat Fakültesi","İlahiyat","(Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","8+0","6+0","5+0","3+0","Doldu","8","6","5","3","251","18","81","110","497,87942","512,30958","516,51507","508,94714"
"203910724","KOÇ ÜNİVERSİTESİ","İnsani Bilimler ve Edebiyat Fakültesi","Medya ve Görsel Sanatlar","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","11+0","9+0","9+0","6+0","Doldu","11","9","9","6","259","342","320","487","497,30340","457,26730","492,39837","478,03931"
"204890044","ÖZYEĞİN ÜNİVERSİTESİ","Mimarlık ve Tasarım Fakültesi","İletişim ve Tasarımı","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","5+0","5+0","5+0","2+0","Doldu","5","5","5","2","323","619","790","537","494,09368","442,52335","471,41355","476,12801"
"204810988","ÖZYEĞİN ÜNİVERSİTESİ","Uygulamalı Bilimler Yüksekokulu","Gastronomi ve Mutfak Sanatları (Yüksekokul)","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","9+0","9+0","9+0","5+0","Doldu","9","9","9","5","446","770","1.170","868","488,87597","436,67412","460,30923","465,04208"
"102210198","BOĞAZİÇİ ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Tarih","(İngilizce) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","70+2","70+2","60+2","60+2","Doldu","72","72","62","62","812","716","849","669","476,00044","438,16504","469,39477","471,05048"
"206110283","YEDİTEPE ÜNİVERSİTESİ","Fen-Edebiyat Fakültesi","Tarih","(İngilizce) (Burslu) (4 Yıllık)","İSTANBUL","Vakıf","Burslu","Örgün","4+0","4+0","4+0","3+0","Doldu","4","4","4","3","858","733","1.230","491","474,62920","437,76862","458,48568","477,99074"
"202190187","İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ","Güzel Sanatlar Tasarım ve Mimarlık Fakültesi","İletişim ve Tasarımı","(İngilizce) (Burslu) (4 Yıllık)","ANKARA","Vakıf","Burslu","Örgün","11+0","11+0","11+0","7+0","Doldu","11","11","11","7","859","806","1.600","718","474,62517","435,35242","451,10135","469,32368"
"104010113","GALATASARAY ÜNİVERSİTESİ","İletişim Fakültesi","İletişim","(Fransızca) (4 Yıllık)","İSTANBUL","Devlet","Ücretsiz","Örgün","30+1","30+1","30+1","30+1","Doldu","31","31","31","31","936","883","1.150","870","472,85155","433,06333","460,83237","465,03124"
